Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost SAH average,Compute cost PAH average count,Compute cost SAH average count,Choose split plane PAH average,Choose split plane SAH average,Choose split plane PAH average count,Choose split plane SAH average count
Wood_Plane_Oblique_Facing,108.11783599853516,86.62528991699219,122.8089599609375,79.15799713134766,111.64307403564453,72.63600158691406,37.72296142578125,0.7039999961853027,0.7432578802108765,0.7632264494895935,0.7612892985343933,0.7867865562438965,0.8106150031089783,0.814691424369812,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,33.289886474609375,32.44938659667969,68.82220458984375,66.06138610839844,2.6836085319519043,2.7712223529815674,1.6228057146072388,1.545454502105713
Random1000_Plane_15_Facing,85.4232177734375,70.43888854980469,104.2732162475586,62.0989990234375,84.63526916503906,50.85200119018555,55.94872283935547,0.6489999890327454,0.5294668674468994,0.5877184271812439,0.543559730052948,0.5467315912246704,0.5482460856437683,0.5482460856437683,13,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,4.268592357635498,6.101289749145508,59.707706451416016,85.61561584472656,0.22280201315879822,0.2724016010761261,1.0840840339660645,1.0020020008087158
Wood_Plane_45_Facing,248.53709411621094,157.40818786621094,255.34024047851563,187.3520050048828,243.57540893554688,180.55799865722656,39.21598434448242,0.699999988079071,0.7341672778129578,0.7450628876686096,0.7659346461296082,0.7964088320732117,0.8169615268707275,0.8176934123039246,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,17.85782814025879,32.263282775878906,46.01689910888672,66.06138610839844,2.106663227081299,2.763333559036255,1.7895231246948242,1.545454502105713
Wood_Plane_Parallel_Facing,113.63668823242188,88.00285339355469,134.79959106445313,87.94999694824219,110.23367309570313,72.45700073242188,79.50164031982422,0.7369999885559082,0.6370997428894043,0.6577847599983215,0.689869225025177,0.7602002620697021,0.8195817470550537,0.8202553391456604,24,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,37.25300216674805,40.320133209228516,66.64283752441406,66.06138610839844,2.2914891242980957,3.047046422958374,1.6093894243240356,1.545454502105713
CottageWalls_Point_45_Facing,136.3280487060547,67.51250457763672,136.2046356201172,86.04199981689453,136.2046356201172,86.04199981689453,136.2046356201172,1.0,0.6571892499923706,0.8114644289016724,0.7257581353187561,0.7001766562461853,0.7299056053161621,0.7334335446357727,24,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,22.069904327392578,27.902761459350586,63.918521881103516,69.23839569091797,1.9789855480194092,2.381085157394409,1.698399543762207,1.638682246208191
SuzannePlaneParallel_Facing,39.71156311035156,43.51205825805664,45.432029724121094,29.905000686645508,40.75522994995117,27.267000198364258,15.961775779724121,0.7070000171661377,0.4748867452144623,0.5294105410575867,0.5151985883712769,0.5994263887405396,0.6093639731407166,0.6093639731407166,14,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,4.3965983390808105,6.133499622344971,72.6500015258789,88.4823989868164,0.21560131013393402,0.30530065298080444,1.4023809432983398,1.1759834289550781
Random1000_Plane_45_Facing,96.03395080566406,72.1566162109375,122.81916046142578,72.83200073242188,96.96409606933594,57.957000732421875,69.13148498535156,0.6259999871253967,0.5277389883995056,0.6139287352561951,0.5688823461532593,0.5663255453109741,0.5672296285629272,0.5672296285629272,14,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,2.6327972412109375,6.192594528198242,36.0821647644043,85.61561584472656,0.25220179557800293,0.2735014259815216,1.1833667755126953,1.0020020008087158
Wood_Plane_15_Facing,113.64160919189453,96.65704345703125,127.87704467773438,82.3759994506836,112.91348266601563,73.48600006103516,42.38978576660156,0.6470000147819519,0.6933874487876892,0.7483726143836975,0.7591635584831238,0.8018414378166199,0.8243603110313416,0.8252248167991638,26,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,32.08525848388672,32.719017028808594,66.6784896850586,66.06138610839844,2.4669923782348633,2.811026096343994,1.6147377490997314,1.545454502105713
Wood_Point_Parallel_Facing,69.72533416748047,81.65083312988281,89.97147369384766,57.60900115966797,78.3036117553711,50.805999755859375,28.598037719726563,0.5920000076293945,0.6523019671440125,0.6707258820533752,0.6912716031074524,0.7613731622695923,0.7980970144271851,0.8041828274726868,27,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,31.752479553222656,32.24311447143555,66.52456665039063,66.06138610839844,2.705500841140747,2.7678306102752686,1.6184428930282593,1.545454502105713
SuzannePlane15_Facing,47.574981689453125,38.86851501464844,54.15556335449219,34.957000732421875,47.4363899230957,31.1200008392334,19.034564971923828,0.6470000147819519,0.5013615489006042,0.6044732332229614,0.5637767910957336,0.6284094452857971,0.6357322931289673,0.6357322931289673,14,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,5.0709004402160645,6.121696472167969,73.44444274902344,88.4823989868164,0.295101135969162,0.30590060353279114,1.4134615659713745,1.1759834289550781
Random1000_Plane_Parallel_Facing,81.3698959350586,71.12529754638672,97.93561553955078,58.904998779296875,80.10401916503906,48.654998779296875,81.05269622802734,0.7799999713897705,0.5364652872085571,0.6001428365707397,0.505276620388031,0.5174148678779602,0.5188907384872437,0.5188907384872437,13,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,4.268997669219971,6.3347930908203125,58.94294357299805,85.61561584472656,0.17550157010555267,0.28580155968666077,1.0740740299224854,1.0020020008087158
SuzannePlane45_Facing,53.83566665649414,42.17047119140625,62.46401596069336,39.72100067138672,53.95799255371094,34.8380012512207,19.071752548217773,0.5540000200271606,0.5188405513763428,0.556903064250946,0.5814374685287476,0.6119748950004578,0.6209691762924194,0.6211892366409302,18,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,2.917496919631958,6.111788272857666,43.875816345214844,88.4823989868164,0.31210097670555115,0.30290114879608154,1.5228757858276367,1.1759834289550781
SuzannePlaneOblique_Facing,21.85047149658203,38.871944427490234,26.051605224609375,16.34600067138672,21.606006622314453,13.866999626159668,5.796088218688965,0.2329999953508377,0.537544310092926,0.5375442504882813,0.5569208264350891,0.6264312267303467,0.6346881985664368,0.6346881985664368,14,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,5.1532883644104,6.221894264221191,74.0020751953125,88.4823989868164,0.3276009261608124,0.306400865316391,1.424870491027832,1.1759834289550781
Crowd_Point_Oblique_Facing,21.429706573486328,64.95307159423828,39.34519958496094,22.82900047302246,38.6068000793457,22.457000732421875,1.2841739654541016,0.42500001192092896,0.47277528047561646,0.4686434864997864,0.46045583486557007,0.4471012353897095,0.6134200692176819,0.681075930595398,24,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,269.1192932128906,349.7706604003906,67.40938568115234,87.7052230834961,19.53679847717285,17.712406158447266,1.4531188011169434,1.1881141662597656
Crowd_Point_Parallel_Facing,34.34330368041992,65.35667419433594,50.697471618652344,29.295000076293945,45.19513702392578,26.527000427246094,12.013973236083984,0.5419999957084656,0.3308377265930176,0.36651191115379333,0.3821505308151245,0.36618006229400635,0.5510557293891907,0.619434118270874,26,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,288.0333251953125,351.91949462890625,71.72015380859375,87.7052230834961,19.443214416503906,17.88433837890625,1.4421744346618652,1.1881141662597656
Cottage_Plane_Oblique_Facing,118.93434143066406,79.70597076416016,123.5506820678711,79.04399871826172,120.08907318115234,76.76699829101563,38.0395622253418,0.9089999794960022,0.7292394042015076,0.7831209301948547,0.7836110591888428,0.7947317361831665,0.813190221786499,0.8137420415878296,22,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,10.731077194213867,19.40602684020996,49.667110443115234,65.87432861328125,1.3763861656188965,1.8493857383728027,1.8710963726043701,1.7425718307495117
