Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Fallback BVH cost,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost PAH average count,Choose split plane PAH average,Choose split plane PAH average count
Sponza_Plane_45_Facing,152.31399536132813,115.27987670898438,161.38278198242188,96.45899963378906,159.79998779296875,95.65499877929688,169.10235595703125,38.60487747192383,0.9589999914169312,0.5440341234207153,0.5889965295791626,0.49027755856513977,0.4620508849620819,0.5506150126457214,0.6393910050392151,30,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,513.8427734375,51.38068771362305,51.78786849975586,1.718459129333496
Sponza_Plane_Oblique_Longest,707.9807739257813,265.8908996582031,725.1519165039063,382.0369873046875,724.6311645507813,381.77099609375,198.78634643554688,47.345455169677734,0.9890000224113464,0.6034716367721558,0.741824746131897,0.7984684705734253,0.8037903308868408,0.7562049627304077,0.7518869638442993,34,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,7548.39208984375,55.76662826538086,42.310462951660156,1.83757483959198
Sponza_Plane_Parallel_Longest,125.98104095458984,115.76353454589844,130.24063110351563,78.09700012207031,128.66543579101563,77.302001953125,141.57850646972656,175.02223205566406,0.9929999709129333,0.47964006662368774,0.467815101146698,0.522399365901947,0.5707244277000427,0.6437455415725708,0.748856246471405,41,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,7951.49609375,53.35786819458008,57.55949401855469,1.723159909248352
Sponza_Plane_15_Longest,156.830078125,108.62437438964844,158.04339599609375,93.95999908447266,156.8373565673828,93.35700225830078,164.89462280273438,134.0,0.9909999966621399,0.420837938785553,0.4553651809692383,0.5052464008331299,0.5304387807846069,0.6170858144760132,0.7075173854827881,30,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,10376.27734375,55.72684860229492,60.05268096923828,1.8239995241165161
Sponza_Plane_Oblique_Facing,191.6064910888672,91.51362609863281,194.18247985839844,116.04100036621094,193.1620635986328,115.50199890136719,196.7248992919922,51.019996643066406,0.9800000190734863,0.5767449140548706,0.7408440709114075,0.6267843246459961,0.5976203083992004,0.6314584612846375,0.6959928274154663,28,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,535.86279296875,76.28404998779297,34.30677032470703,2.444627285003662
Sponza_Plane_Parallel_Facing,98.95465087890625,87.48553466796875,110.45512390136719,68.43800354003906,109.45753479003906,67.93000030517578,149.93870544433594,166.26666259765625,0.9959999918937683,0.5965210199356079,0.6077937483787537,0.5300368070602417,0.5069674253463745,0.6217269897460938,0.7151941657066345,26,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,761.3426513671875,76.35468292236328,38.07994079589844,2.4457974433898926
Sponza_Plane_45_Longest,191.58741760253906,132.80995178222656,189.1237030029297,109.16500091552734,187.98849487304688,108.59600067138672,157.25277709960938,24.678258895874023,0.9539999961853027,0.49234211444854736,0.5115683674812317,0.4939676523208618,0.5253998637199402,0.5853390693664551,0.6416097283363342,30,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,10932.6630859375,55.45307540893555,60.24659729003906,1.7521953582763672
Sponza_Plane_15_Facing,138.05140686035156,88.89763641357422,137.99476623535156,83.7020034790039,137.22274780273438,83.31600189208984,162.53787231445313,154.39999389648438,0.9950000047683716,0.5377067923545837,0.6089591979980469,0.5228680968284607,0.5007864236831665,0.5852606892585754,0.6818775534629822,26,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,755.4201049804688,76.20064544677734,44.722190856933594,2.4421300888061523
