Scene,Estimated PAH cost,Estimated SAH cost,PAH cost with fallback,PAH intersections with fallback,PAH hit percentage,PAH cost without fallback,SAH cost without fallback,PAH intersections without fallback,SAH cost,SAH intersections,Overlapping %,Overlapping % avg,Max level PAH,Max leaf cost,Max leaf area,Max leaf hit probability,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Max children/father hit probability,Choose split plane PAH average,Choose split plane SAH average,Compute cost PAH average,Compute cost SAH average,PAH error,SAH error,
CottageWallsPlaneFullObliqueLongest,134.82,53.85,200.26,139.64,100%,200.26,200.26,139.64,118.22,68.07,78%,11,22,0,0,0,2,100,0.899999976,1.299999952,0.00026,0.00025,0.00035,0.00007,49%,120%,-71%
CottageWallsPlaneFull15Longest,180.32,53.85,275.34,196.31,100%,275.34,275.34,196.31,127.42,75.07,83%,18,22,0,0,0,2,100,0.899999976,1.299999952,0.00026,0.00026,0.00034,0.00007,53%,137%,-84%
SuzannePointFullParallel,26.04,39.47,48.15,30.30,58%,40.31,18.84,25.82,47.55,29.80,30%,2,15,0,0,0,2,100,0.400000006,1.299999952,0.00025,0.00026,0.00053,0.00007,55%,20%,34%
CrowdPlaneFullObliqueLongest,67.69,58.94,106.66,58.96,100%,106.59,14.00,58.93,106.71,59.00,50%,1,27,0,0,0,2,100,0.899999976,1.299999952,0.00026,0.00026,0.00035,0.00007,57%,81%,-24%
CrowdPlaneFullOblique,69.72,58.94,110.03,60.84,100%,110.02,14.00,60.83,106.53,58.96,46%,0,25,0,0,0,2,100,0.400000006,1.299999952,0.00024,0.00026,0.00035,0.00007,58%,81%,-23%
CottageWallsPlaneFull15,65.04,53.85,105.02,63.05,100%,105.02,105.02,63.05,127.36,75.11,64%,10,24,0,0,0,2,100,0.400000006,1.299999952,0.00022,0.00025,0.00034,0.00007,61%,137%,-75%
SuzannePlaneFullObliqueLongest,38.49,39.47,71.84,44.55,69%,63.91,25.51,39.85,64.49,40.30,53%,5,17,0,0,0,2,100,0.899999976,1.299999952,0.00027,0.00028,0.00035,0.00007,66%,63%,3%
SuzannePlaneFullOblique,36.33,39.47,68.67,42.63,69%,61.18,24.56,38.19,62.67,39.19,52%,4,14,0,0,0,2,100,0.400000006,1.299999952,0.00024,0.00026,0.00036,0.00007,68%,59%,10%
Random100PointFullParallel,9.26,18.67,33.85,18.50,12%,17.83,18.28,9.82,18.78,10.30,27%,6,8,0,0,0,2,100,0.400000006,1.299999952,0.00027,0.00030,0.00069,0.00008,93%,1%,92%
CottageWallsPlaneFullOblique,86.23,53.85,173.71,99.33,100%,173.71,173.71,99.33,119.66,68.69,71%,16,28,0,0,0,2,100,0.400000006,1.299999952,0.00024,0.00025,0.00021,0.00007,101%,122%,-21%
Random100PointFull15,7.80,18.67,36.13,19.66,10%,18.84,19.27,10.32,20.00,10.92,29%,4,9,0,0,0,2,100,0.400000006,1.299999952,0.00027,0.00037,0.00065,0.00008,141%,7%,134%
CottageWallsPointFull45,51.53,53.85,142.96,81.47,100%,142.96,142.96,81.47,121.60,69.89,62%,7,26,0,0,0,2,100,0.400000006,1.299999952,0.00024,0.00025,0.00043,0.00007,177%,126%,52%
CrowdPointFullParallel,16.74,58.94,55.93,30.90,55%,49.31,14.84,27.57,55.14,30.28,25%,2,26,0,0,0,2,100,0.400000006,1.299999952,0.00024,0.00026,0.00053,0.00007,195%,6%,188%
CrowdPointFull15,14.20,58.94,51.82,28.05,45%,45.65,11.25,24.97,47.09,25.57,26%,0,26,0,0,0,2,100,0.400000006,1.299999952,0.00024,0.00026,0.00051,0.00007,221%,20%,201%
CottageWallsPointFullParallel,19.59,53.85,78.51,47.88,87%,70.69,60.17,42.78,88.01,52.45,40%,4,24,0,0,0,2,100,0.400000006,1.299999952,0.00024,0.00025,0.00051,0.00007,261%,63%,197%
CottageWallsPointFull15,17.91,53.85,76.91,46.56,89%,71.13,54.05,42.85,86.13,51.10,38%,5,23,0,0,0,2,100,0.400000006,1.299999952,0.00024,0.00025,0.00048,0.00007,297%,60%,237%
