Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Fallback BVH cost,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost PAH average count,Choose split plane PAH average,Choose split plane PAH average count
Sponza_Point_Oblique_Standard,178.30552673339844,98.76512145996094,186.42800903320313,110.61900329589844,183.52960205078125,109.1050033569336,182.89356994628906,67.40464782714844,0.9599999785423279,0.2527250349521637,0.5281872153282166,0.5817685127258301,0.5743190050125122,0.6415408253669739,0.6935243606567383,28,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,329.45587158203125,47.994075775146484,41.68424987792969,1.7223541736602783
Sponza_Point_Parallel_Standard,192.7907257080078,112.9285888671875,179.22784423828125,106.47899627685547,179.22784423828125,106.47899627685547,173.89344787597656,179.22784423828125,1.0,0.18600459396839142,0.6640198826789856,0.6205981969833374,0.5999869108200073,0.6443021297454834,0.7051887512207031,28,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,384.2722473144531,48.49391555786133,47.00263595581055,1.6722886562347412
Sponza_Point_Oblique_Full,268.5401916503906,137.59637451171875,299.58209228515625,166.92599487304688,297.3406066894531,165.58599853515625,186.87950134277344,66.8105239868164,0.9639999866485596,0.36087676882743835,0.46655112504959106,0.579594075679779,0.5977576375007629,0.6566862463951111,0.7281484603881836,42,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,10885.19140625,74.96045684814453,40.148948669433594,2.3731601238250732
Sponza_Point_Parallel_Full,223.0290985107422,141.50186157226563,211.4136962890625,122.8479995727539,211.24609375,122.75299835205078,180.26010131835938,83.79998779296875,1.0,0.258607417345047,0.6074957251548767,0.6527085304260254,0.659893274307251,0.7035276293754578,0.7412636876106262,36,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,13744.44921875,82.01505279541016,47.324249267578125,2.5412750244140625
Sponza_Point_15_Full,220.10977172851563,145.06138610839844,206.57347106933594,119.24500274658203,206.15145874023438,119.03399658203125,167.30528259277344,46.88888931274414,0.9909999966621399,0.18314358592033386,0.6247798204421997,0.6268423795700073,0.6534684896469116,0.6942068338394165,0.7523757815361023,51,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,14929.7685546875,79.66051483154297,51.022605895996094,2.480390787124634
Sponza_Point_45_Standard,185.7060546875,135.52682495117188,204.4503173828125,120.81099700927734,202.1919403076172,119.63700103759766,201.23550415039063,24.54782485961914,0.9089999794960022,0.566465437412262,0.7001810669898987,0.6449158191680908,0.6041942834854126,0.6342055797576904,0.7167797088623047,33,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,512.6517333984375,48.93191909790039,64.1940689086914,1.684362530708313
Sponza_Point_45_Full,231.5472869873047,196.72621154785156,254.34471130371094,145.39700317382813,251.78955078125,144.06900024414063,197.54754638671875,26.342267990112305,0.902999997138977,0.5063894391059875,0.7707465887069702,0.707361102104187,0.6957037448883057,0.7061201333999634,0.7645044326782227,48,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,12692.90625,65.0391616821289,57.05766296386719,2.282377243041992
Sponza_Point_15_Standard,176.1980743408203,112.92535400390625,173.20050048828125,103.63300323486328,172.59848022460938,103.33200073242188,167.42300415039063,46.30769348144531,0.9869999885559082,0.37713560461997986,0.667538583278656,0.647158682346344,0.6182308197021484,0.6542676687240601,0.7296114563941956,33,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,422.81005859375,48.60161209106445,51.7302131652832,1.68381929397583
