Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Fallback BVH cost,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost PAH average count,Choose split plane PAH average,Choose split plane PAH average count
Sponza_Point_45_Facing,173.42733764648438,135.10784912109375,193.21139526367188,115.0979995727539,190.95303344726563,113.92400360107422,201.23550415039063,24.54782485961914,0.9089999794960022,0.4884534478187561,0.7742801904678345,0.6572728157043457,0.5825924277305603,0.6284886598587036,0.7214857339859009,28,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,655.7357177734375,65.33073425292969,52.3513298034668,2.2109248638153076
Sponza_Point_Oblique_Longest,452.08929443359375,166.51687622070313,459.5185852050781,337.07000732421875,457.437255859375,335.7300109863281,186.87950134277344,66.8105239868164,0.9639999866485596,0.26308271288871765,0.5955215096473694,0.6678033471107483,0.7052975296974182,0.7166047096252441,0.7411831617355347,29,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,165.65611267089844,32.91830062866211,41.072845458984375,1.2491761445999146
Sponza_Point_Parallel_Longest,429.16876220703125,211.26080322265625,411.8162536621094,300.1610107421875,411.6486511230469,300.0660095214844,180.26010131835938,83.79998779296875,1.0,0.1268681287765503,0.691479504108429,0.7091284990310669,0.7004660964012146,0.7179203629493713,0.7488390207290649,32,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,192.25030517578125,33.0834846496582,46.76436233520508,1.217309832572937
Sponza_Point_15_Longest,364.434326171875,195.53359985351563,357.31170654296875,256.54998779296875,356.88970947265625,256.3389892578125,167.30528259277344,46.88888931274414,0.9909999966621399,0.3868262767791748,0.6946071982383728,0.6721837520599365,0.6690497398376465,0.7052500247955322,0.7446873784065247,33,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,208.41554260253906,32.90001678466797,51.8078498840332,1.2190525531768799
Sponza_Point_Oblique_Facing,160.96669006347656,100.43750762939453,173.88156127929688,103.68299865722656,170.98318481445313,102.16899871826172,182.89356994628906,67.40464782714844,0.9599999785423279,0.283393919467926,0.579459547996521,0.5764554142951965,0.5708661675453186,0.6433916091918945,0.7031527161598206,27,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,502.9394226074219,71.81221771240234,36.519630432128906,2.3474111557006836
Sponza_Point_Parallel_Facing,173.44937133789063,109.48902130126953,162.5510711669922,97.87300109863281,162.5510711669922,97.87300109863281,173.89344787597656,162.5510711669922,1.0,0.1339515745639801,0.8148909211158752,0.6778377294540405,0.6227470636367798,0.654202401638031,0.7276850938796997,27,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,608.9127197265625,75.76446533203125,40.86056137084961,2.430159091949463
Sponza_Point_45_Longest,335.5520935058594,218.95347595214844,366.5082702636719,255.83299255371094,363.953125,254.5050048828125,197.54754638671875,26.342267990112305,0.902999997138977,0.5855689644813538,0.7134328484535217,0.6725953817367554,0.6521922945976257,0.6829143166542053,0.7305607199668884,31,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,234.777587890625,32.921348571777344,57.793582916259766,1.2214051485061646
Sponza_Point_15_Facing,166.17147827148438,111.02507019042969,163.99964904785156,98.71800231933594,163.3976593017578,98.41699981689453,167.42300415039063,46.30769348144531,0.9869999885559082,0.2871828079223633,0.6501843929290771,0.610106348991394,0.5739691853523254,0.6366181969642639,0.7165093421936035,29,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,666.1672973632813,74.95097351074219,45.338531494140625,2.413874387741089
