Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost SAH average,Compute cost PAH average count,Compute cost SAH average count,Choose split plane PAH average,Choose split plane SAH average,Choose split plane PAH average count,Choose split plane SAH average count
Wood_Plane_Oblique_Standard,309.17181396484375,232.8904266357422,329.7416076660156,247.9409942626953,318.5757751464844,241.41900634765625,37.72296142578125,0.7039999961853027,0.8652340769767761,0.8601677417755127,0.8138948678970337,0.8284602165222168,0.8386395573616028,0.8398576974868774,21,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,12.07568073272705,33.365047454833984,40.92513656616211,66.06138610839844,2.0865981578826904,2.8594326972961426,2.0041162967681885,2.2180936336517334
Random1000_Plane_15_Standard,91.99820709228516,69.67618560791016,112.37996673583984,66.2509994506836,90.32398223876953,53.584999084472656,60.760337829589844,0.6370000243186951,0.5412143468856812,0.6130566000938416,0.5790272951126099,0.5525431632995605,0.5530102252960205,0.5530102252960205,13,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,3.0830986499786377,6.263491153717041,43.077857971191406,85.61561584472656,0.28970107436180115,0.2843013107776642,1.1051567792892456,2.246246337890625
Wood_Plane_45_Standard,383.482666015625,245.50067138671875,391.494873046875,299.2250061035156,379.73004150390625,292.4309997558594,39.21598434448242,0.699999988079071,0.8559045195579529,0.8542608022689819,0.8284511566162109,0.8458132147789001,0.8538385629653931,0.8550880551338196,24,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,10.418862342834473,33.435672760009766,40.855186462402344,66.06138610839844,1.8448989391326904,2.8633317947387695,2.0911800861358643,2.2180936336517334
Wood_Plane_Parallel_Standard,211.76223754882813,129.0359649658203,244.48858642578125,179.88299560546875,219.92250061035156,164.38999938964844,79.50164031982422,0.7369999885559082,0.6748276352882385,0.696060836315155,0.7463744282722473,0.7825221419334412,0.8089141249656677,0.8082956671714783,21,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,13.384894371032715,42.8450813293457,40.8157958984375,66.06138610839844,2.2831976413726807,3.2793281078338623,1.990434169769287,2.2180936336517334
SuzannePlaneParallel_Standard,46.21908187866211,44.58143997192383,52.074825286865234,33.33700180053711,47.39803695678711,30.698999404907227,15.961775779724121,0.7070000171661377,0.4996398091316223,0.5223701000213623,0.5328505635261536,0.5846675038337708,0.587440550327301,0.587440550327301,15,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,2.854297161102295,6.223291397094727,46.82926940917969,88.4823989868164,0.31540027260780334,0.3054010272026062,1.4646341800689697,2.6211180686950684
Random1000_Plane_45_Standard,99.99398040771484,69.67618560791016,127.29509735107422,75.1050033569336,101.29240417480469,60.20100021362305,67.36476135253906,0.6140000224113464,0.5199293494224548,0.604794979095459,0.5742511749267578,0.5554768443107605,0.5558415055274963,0.5558415055274963,13,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,3.066898822784424,6.398993968963623,43.077857971191406,85.61561584472656,0.29200106859207153,0.2946009337902069,1.1051567792892456,2.246246337890625
Wood_Plane_15_Standard,314.23114013671875,244.92681884765625,328.53363037109375,248.35499572753906,313.5700988769531,239.46499633789063,42.38978576660156,0.6470000147819519,0.8465423583984375,0.8566249012947083,0.8330568671226501,0.8539029359817505,0.8624261617660522,0.8639765977859497,24,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,11.679555892944336,34.46828079223633,41.00739669799805,66.06138610839844,2.0426008701324463,3.0729217529296875,2.0438456535339355,2.2180936336517334
Wood_Point_Parallel_Standard,197.5345001220703,199.54566955566406,228.95089721679688,168.4320068359375,216.30735778808594,161.01300048828125,29.335498809814453,0.5690000057220459,0.8678203821182251,0.8610284328460693,0.7974159121513367,0.8199159502983093,0.8270972967147827,0.8278036117553711,21,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,12.00877571105957,32.8153190612793,40.83987808227539,66.06138610839844,2.0182011127471924,2.7959299087524414,1.9937059879302979,2.2180936336517334
SuzannePlane15_Standard,53.75233840942383,40.819915771484375,60.06877517700195,38.141998291015625,53.349571228027344,34.30500030517578,19.034564971923828,0.6470000147819519,0.4905050992965698,0.5541661381721497,0.5534044504165649,0.5964146852493286,0.6001403331756592,0.6002249121665955,17,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,3.1373989582061768,6.307593822479248,45.96854019165039,88.4823989868164,0.3385002315044403,0.32200074195861816,1.4775280952453613,2.6211180686950684
Random1000_Plane_Parallel_Standard,91.10394287109375,69.67618560791016,107.50560760498047,63.9119987487793,90.80201721191406,54.303001403808594,79.54093933105469,0.7900000214576721,0.5487403869628906,0.6137867569923401,0.5697306990623474,0.5350124835968018,0.5355491638183594,0.5355491638183594,13,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,3.097597360610962,6.194693088531494,43.077857971191406,85.61561584472656,0.2915012240409851,0.28180131316185,1.1051567792892456,2.246246337890625
