Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Fallback BVH cost,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost PAH average count,Choose split plane PAH average,Choose split plane PAH average count
Sponza_Plane_Oblique_Standard,208.23532104492188,93.07929229736328,209.23696899414063,123.9020004272461,208.21656799316406,123.36299896240234,196.7248992919922,51.019996643066406,0.9800000190734863,0.5481395125389099,0.720503568649292,0.6541244983673096,0.6215018033981323,0.6549076437950134,0.7079624533653259,27,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,315.6424865722656,47.871456146240234,38.915618896484375,1.7183784246444702
Sponza_Plane_Parallel_Standard,127.48380279541016,85.58541107177734,142.6820831298828,84.6989974975586,141.68447875976563,84.19100189208984,149.93870544433594,166.26666259765625,0.9959999918937683,0.6486315131187439,0.6485101580619812,0.5559823513031006,0.5246642231941223,0.6103110909461975,0.6871269941329956,28,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,471.6087951660156,49.222476959228516,55.77598571777344,1.6912699937820435
Sponza_Plane_Oblique_Full,720.2073364257813,272.2202453613281,736.8440551757813,387.4339904785156,736.3232421875,387.1679992675781,198.78634643554688,47.345455169677734,0.9890000224113464,0.6164588928222656,0.7797529101371765,0.8038086295127869,0.8205763101577759,0.7718707323074341,0.7649015784263611,50,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,13709.609375,81.03857421875,39.040283203125,2.4743025302886963
Sponza_Plane_Parallel_Full,75.5031509399414,198.2958221435547,78.5379867553711,51.54600143432617,76.96279907226563,50.750999450683594,141.57850646972656,175.02223205566406,0.9929999709129333,0.17655237019062042,0.1829821914434433,0.27485331892967224,0.36370259523391724,0.5975058078765869,0.7511500120162964,32,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,8870.3935546875,63.904747009277344,41.41884994506836,2.4176418781280518
Sponza_Plane_15_Full,185.76467895507813,164.7674102783203,190.40733337402344,109.97000122070313,189.20130920410156,109.36699676513672,164.89462280273438,134.0,0.9909999966621399,0.5415183305740356,0.5921928286552429,0.6076322793960571,0.6156127452850342,0.6715113520622253,0.7297031879425049,30,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,16754.32421875,77.63211059570313,51.528141021728516,2.5908610820770264
Sponza_Plane_45_Standard,156.22903442382813,103.15866088867188,165.418701171875,98.66699981689453,163.83590698242188,97.86299896240234,169.10235595703125,38.60487747192383,0.9589999914169312,0.47935763001441956,0.5097396969795227,0.47946861386299133,0.466269850730896,0.5463741421699524,0.6298689246177673,29,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,484.1521911621094,49.252769470214844,56.99353790283203,1.6874397993087769
Sponza_Plane_45_Full,191.2173309326172,317.47406005859375,191.69573974609375,110.18599700927734,190.56053161621094,109.61699676513672,157.25277709960938,24.678258895874023,0.9539999961853027,0.4581076204776764,0.49730169773101807,0.5798413157463074,0.6323039531707764,0.6653403639793396,0.6959584951400757,30,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,6764.52197265625,52.376285552978516,57.306304931640625,1.8618990182876587
Sponza_Plane_15_Standard,156.94285583496094,87.13660430908203,156.3834991455078,93.0999984741211,155.6114959716797,92.71399688720703,162.53787231445313,154.39999389648438,0.9950000047683716,0.572908878326416,0.6155990958213806,0.5394306182861328,0.524062991142273,0.602851390838623,0.6810196042060852,28,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,470.0826110839844,49.3874626159668,55.44305419921875,1.6914567947387695
