Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost SAH average,Compute cost PAH average count,Compute cost SAH average count,Choose split plane PAH average,Choose split plane SAH average,Choose split plane PAH average count,Choose split plane SAH average count
Wood_Plane_Oblique_Longest,315.3475646972656,230.69252014160156,335.89093017578125,249.26800537109375,324.72491455078125,242.74600219726563,37.72296142578125,0.7039999961853027,0.9653282165527344,0.9655330181121826,0.818905234336853,0.8171470165252686,0.829045295715332,0.8307369947433472,22,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,269.66253662109375,35.59916305541992,37.80170440673828,66.06138610839844,1.9755192995071411,2.963045597076416,1.7904356718063354,1.545454502105713
Random1000_Plane_15_Longest,91.54375457763672,70.1279296875,109.7052001953125,64.8499984741211,90.06726837158203,53.60300064086914,55.94872283935547,0.6489999890327454,0.5441609621047974,0.5978473424911499,0.5695669651031494,0.5478403568267822,0.5502495765686035,0.5502495765686035,13,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,87.66026306152344,6.748291969299316,46.25656509399414,85.61561584472656,0.31520038843154907,0.2880012094974518,1.1414141654968262,1.0020020008087158
Wood_Plane_45_Longest,481.1546936035156,294.4310607910156,481.9283447265625,372.95001220703125,470.1636047363281,366.156005859375,39.21598434448242,0.699999988079071,0.9111846089363098,0.9088081121444702,0.8527640700340271,0.8559073209762573,0.8601268529891968,0.8613055944442749,25,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,238.59478759765625,35.6444206237793,41.185733795166016,66.06138610839844,1.766006588935852,2.8747379779815674,1.837945818901062,1.545454502105713
Wood_Plane_Parallel_Longest,241.7452392578125,156.4360809326172,283.3024597167969,212.44400024414063,258.73614501953125,196.9510040283203,79.50164031982422,0.7369999885559082,0.6747583150863647,0.7024644613265991,0.7564324736595154,0.7888562679290771,0.8083730936050415,0.8097466230392456,23,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,223.5684356689453,43.607704162597656,41.27743148803711,66.06138610839844,2.1049063205718994,3.213344097137451,1.7929832935333252,1.545454502105713
CottageWalls_Point_45_Longest,339.625,104.79013061523438,335.40576171875,244.447998046875,335.40576171875,244.447998046875,335.40576171875,1.0,0.7568506002426147,0.8342425227165222,0.8338476419448853,0.8209497332572937,0.8153923153877258,0.8159635663032532,24,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,8.52037525177002,30.4129638671875,37.138858795166016,69.23839569091797,1.9227426052093506,2.4084901809692383,2.6719131469726563,1.638682246208191
SuzannePlaneParallel_Longest,45.6248664855957,45.624000549316406,51.50161361694336,33.053001403808594,46.82482147216797,30.415000915527344,15.961775779724121,0.7070000171661377,0.4464282989501953,0.47546738386154175,0.5622233152389526,0.6115074157714844,0.6190930008888245,0.6192928552627563,17,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,49.833709716796875,6.699692726135254,47.99507522583008,88.4823989868164,0.3202001750469208,0.3143007755279541,1.4211822748184204,1.1759834289550781
Random1000_Plane_45_Longest,99.48893737792969,70.1309585571289,126.56877136230469,74.83499908447266,100.71369934082031,59.959999084472656,69.13148498535156,0.6259999871253967,0.526486873626709,0.5975472331047058,0.5643352270126343,0.5505598783493042,0.5509276986122131,0.5509276986122131,13,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,87.76326751708984,6.719690799713135,45.1590690612793,85.61561584472656,0.3093004524707794,0.28320130705833435,1.1185410022735596,1.0020020008087158
Wood_Plane_15_Longest,332.662353515625,244.35043334960938,346.272705078125,259.7919921875,331.30908203125,250.90199279785156,42.38978576660156,0.6470000147819519,0.9648472666740417,0.9610423445701599,0.8192541003227234,0.8321550488471985,0.8514435887336731,0.8535722494125366,26,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,275.7981872558594,36.31755828857422,40.57896041870117,66.06138610839844,2.0207197666168213,3.0100295543670654,1.810852289199829,1.545454502105713
Wood_Point_Parallel_Longest,196.88104248046875,205.75584411621094,222.24192810058594,163.58599853515625,210.573974609375,156.7830047607422,28.598037719726563,0.5920000076293945,0.9579530954360962,0.9370732307434082,0.8377572894096375,0.8363215923309326,0.84856778383255,0.8503566384315491,27,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,9.994462966918945,35.12717819213867,29.729211807250977,66.06138610839844,2.865940570831299,2.822336196899414,2.44931697845459,1.545454502105713
SuzannePlane15_Longest,53.08694076538086,41.410682678222656,59.315574645996094,37.737998962402344,52.59638214111328,33.9010009765625,19.034564971923828,0.6470000147819519,0.48374688625335693,0.5455660223960876,0.5600267052650452,0.6009966135025024,0.6057635545730591,0.6058485507965088,17,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,67.438720703125,6.628495216369629,45.34598159790039,88.4823989868164,0.36379992961883545,0.31160053610801697,1.4029017686843872,1.1759834289550781
