Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Fallback BVH cost,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost PAH average count,Choose split plane PAH average,Choose split plane PAH average count
Wood_Point_Oblique_Facing,68.54116821289063,80.67537689208984,93.44194793701172,60.137001037597656,83.0487289428711,53.9630012512207,83.63795471191406,23.3898868560791,0.5450000166893005,0.7224537134170532,0.807708740234375,0.7359817624092102,0.7746680378913879,0.8182470202445984,0.8249329328536987,26,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,37.68395233154297,73.23808288574219,2.6989998817443848,2.5610146522521973
SuzannePoint15_Longest,46.44625473022461,40.36744689941406,54.39802169799805,34.249000549316406,46.68882369995117,29.90999984741211,45.85283660888672,15.356973648071289,0.49799999594688416,0.5023155808448792,0.5367443561553955,0.5442143082618713,0.5892763733863831,0.5970402359962463,0.5970402359962463,16,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,2.4364969730377197,35.669925689697266,0.46349865198135376,1.0553746223449707
Wood_Point_Parallel_Facing,71.10189056396484,82.82968139648438,91.6112060546875,58.65800094604492,80.60641479492188,52.2859992980957,85.43235778808594,26.58163070678711,0.5860000252723694,0.6523019671440125,0.6707258820533752,0.6813136339187622,0.7595639228820801,0.790503203868866,0.793849766254425,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,34.074256896972656,67.42725372314453,2.6650068759918213,2.563812255859375
Wood_Point_Oblique_Longest,411.55426025390625,409.928466796875,426.83038330078125,339.5,416.3639831542969,333.0409851074219,75.47073364257813,23.201644897460938,0.5130000114440918,0.9195885062217712,0.8901657462120056,0.8249350190162659,0.8292135000228882,0.8362919092178345,0.8376144766807556,21,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,8.186372756958008,28.632129669189453,2.409738779067993,1.2598116397857666
Random1000_Point_15_Longest,79.7319564819336,69.6418228149414,115.06432342529297,67.1719970703125,85.91201782226563,50.486000061035156,83.36638641357422,60.35689926147461,0.5170000195503235,0.4775705933570862,0.696630597114563,0.6402985453605652,0.6070245504379272,0.6084021329879761,0.6084021329879761,12,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,2.9681971073150635,40.09504699707031,0.5026983618736267,1.009100079536438
Wood_Point_45_Longest,158.66224670410156,316.9470520019531,187.45700073242188,146.6020050048828,182.60763549804688,143.77200317382813,41.134422302246094,7.292755126953125,0.3100000023841858,0.8649300932884216,0.861008882522583,0.8211878538131714,0.8374468088150024,0.8511459827423096,0.8533502817153931,23,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,8.941944122314453,29.437406539916992,2.45743989944458,1.2887184619903564
Wood_Point_Parallel_Longest,166.85923767089844,165.58786010742188,187.5528106689453,134.5019989013672,175.55126953125,127.44400024414063,83.80559539794922,28.23904800415039,0.574999988079071,0.9555723071098328,0.9296900033950806,0.8303292393684387,0.8236335515975952,0.8359129428863525,0.8381122946739197,27,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,12.992478370666504,33.62807846069336,3.0194520950317383,1.3378489017486572
SuzannePoint45_Longest,48.61400604248047,40.102256774902344,58.28996658325195,36.992000579833984,51.06357955932617,32.893001556396484,52.44755935668945,15.507296562194824,0.5339999794960022,0.5114389061927795,0.5432180166244507,0.5649121403694153,0.6036465167999268,0.6073260307312012,0.6073260307312012,16,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,2.4839982986450195,35.51731491088867,0.492098331451416,1.0584415197372437
Random1000_Point_45_Longest,79.9357681274414,69.84050750732422,119.3891372680664,69.93800354003906,90.29563903808594,53.27299880981445,88.52360534667969,56.056983947753906,0.48100000619888306,0.5888369679450989,0.6635826230049133,0.6177052855491638,0.590093731880188,0.5902937054634094,0.5902937054634094,13,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,2.934398889541626,40.28311538696289,0.501098096370697,1.0101112127304077
CottageWalls_Point_Parallel_Longest,233.15695190429688,101.35627746582031,231.80780029296875,165.91900634765625,223.97462463378906,160.83900451660156,96.3463134765625,60.72246551513672,0.8709999918937683,0.614239513874054,0.8239744901657104,0.836600124835968,0.8249305486679077,0.8240349292755127,0.824237585067749,24,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,8.019172668457031,37.29265594482422,1.9532463550567627,1.3850396871566772
